DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Address City,Address State,Address ZIP,Address Borough
1275332-DCA,Business,12/31/2014,Inactive,01/04/2008,Tobacco Retail Dealer,"MANOR BAGELS OF SI, INC.",STATEN ISLAND,NY,10314,Staten Island
1025506-DCA,Business,12/31/2013,Inactive,01/05/2000,Laundry Jobber,"CHOI, CHANG R",NEW YORK,NY,10025,Manhattan
2020022-DCA,Business,12/31/2020,Active,03/25/2015,Electronics Store,VAPE WIRELESS CORP,BROOKLYN,NY,11214,Brooklyn
2009956-DCA,Business,02/28/2017,Inactive,06/24/2014,Home Improvement Contractor,"PEREZ, ALCIDES",BRENTWOOD,NY,11717,Outside NYC
2025760-DCA,Business,02/28/2017,Inactive,07/16/2015,Home Improvement Contractor,ADAMEK CONSTRUCTION INC.,BROOKLYN,NY,11209,Brooklyn
2095252-DCA,Business,02/28/2021,Active,03/11/2020,Home Improvement Contractor,EASTSIDE BUILDERS NY CORP,SOUTH RICHMOND HILL,NY,11419,Queens
1057116-DCA,Business,12/31/2016,Inactive,12/06/2000,Tobacco Retail Dealer,"PATHMARK STORES, INC.",BRONX,NY,10461,Bronx
1465677-DCA,Business,09/30/2014,Inactive,09/11/2013,Catering Establishment,"123 RESTAURANT GROUP, LLC",BAYSIDE,NY,11360,Queens
2004825-DCA,Business,12/31/2016,Inactive,03/14/2014,Electronics Store,C & J ELECTRONICS,NEW YORK,NY,10003,Manhattan
2010825-DCA,Business,04/15/2020,Active,07/17/2014,Sidewalk Cafe,JACOB SOUL FOOD RESTAURANT-373 W 129 STREET CORP.,NEW YORK,NY,10027,Manhattan
1330589-DCA,Business,12/31/2011,Inactive,08/27/2009,Tobacco Retail Dealer,"BAKARY, DIAKITE",NEW YORK,NY,10031,Manhattan
2021378-DCA,Business,02/28/2017,Inactive,04/21/2015,Home Improvement Contractor,OHM HOME IMPROVEMENT CORP.,JACKSON HEIGHTS,NY,11372,Queens
